CONTROLN,STATE,GENDER,HV1,IC1,IC4,HVP1,IC5,POBC1,POBC2,IC2,IC3,AVGGIFT,TCODE,DOB,DOMAIN,TARGET_D
169903,CA,U,2598,470,661,74,31631,9,36,557,562,8.107142857,2,1701,C1,15.0
172175,CA,F,658,166,212,0,7704,16,59,143,206,11.33333333,0,201,C3,10.0
145905,CA,M,2328,346,493,74,17417,20,47,469,434,25.0,1,1101,S1,20.0
136385,AZ,M,1239,241,382,15,14783,2,24,287,337,6.75,1,2407,C1,5.0
15038,NC,M,849,457,519,0,16386,1,66,508,470,12.8,2,2201,T2,25.0
40786,FL,M,1163,402,552,14,19090,8,33,446,495,11.375,1,2504,T2,5.0
2935,IL,F,1609,504,663,33,23852,9,63,592,579,22.5,0,0,0,25.0
132983,WY,male,1611,320,456,38,18475,2,25,404,404,10.0,2,4401,R1,15.0
104747,KS,F,706,391,493,0,19160,3,31,458,434,8.0,2,1303,U1,10.0
92772,FL,F,860,294,348,0,15425,8,8,322,329,18.0,2,4002,S1,5.0
64522,IN,M,648,304,396,3,14750,1,72,349,358,8.0,0,3606,R2,10.0
175719,OR,M,749,316,412,0,15051,4,56,339,378,8.333333333,0,2502,S2,5.0
56318,KY,F,2008,788,832,50,39749,0,74,863,782,5.166666667,28,5801,T1,5.0
113736,OK,F,706,439,500,7,17192,0,68,470,467,12.0,0,5701,T1,20.0
165366,CA,M,5567,1094,1093,99,52169,10,59,1189,1045,25.0,0,0,T1,30.0
73371,MI,,363,256,331,0,12080,1,89,298,288,5.125,1,1901,C3,10.0
145895,CA,F,2679,445,572,78,20693,11,55,470,535,9.75,0,0,S1,15.0
5366,CA,F,1522,426,437,16,14334,6,55,425,462,13.875,0,4901,C2,20.0
37090,FL,M,1363,491,616,24,23656,18,23,524,581,13.7,1,3011,S3,20.0
427,FL,M,709,256,327,0,13576,3,8,271,291,9.545454546,0,0,C2,10.0
220,IL,M,550,387,502,0,20210,1,71,427,467,5.545454545,1,5205,C3,8.0
39246,FL,F,1093,364,441,2,15640,6,30,424,392,4.25,28,2401,S2,5.0
85853,MN,M,542,280,320,0,10254,2,79,305,303,7.0,1002,6001,R2,20.0
97829,IL,M,819,371,471,2,15719,1,65,432,407,4.720588235,0,5101,T2,10.0
118831,TX,F,850,440,511,0,17825,6,51,468,470,20.0,0,6201,S1,20.0
178597,WA,F,2132,632,761,54,27547,6,53,714,721,13.0,2,3201,S1,22.0
152509,CA,F,1725,394,444,24,14032,4,52,408,425,13.21428571,28,0,S2,20.0
61232,IN,F,1057,425,530,2,17343,3,57,489,482,9.2535,0,4501,S1,10.0
27714,GA,M,1458,643,688,10,21122,6,34,660,635,6.833333333,1,3801,C1,9.0
170473,CA,M,1194,247,349,21,13998,3,63,307,311,15.33333333,72,5101,R1,20.0
176454,OR,F,426,213,272,0,9590,1,55,240,255,23.0,28,0,T3,23.0
73685,MI,M,641,255,371,0,12503,2,87,336,317,8.578947368,1,1707,S2,10.0
75153,IA,M,750,118,325,25,11638,4,66,366,152,10.66666667,1,1601,C2,13.0
98731,IL,F,1462,600,655,4,21328,8,57,639,627,15.0,28,5801,C1,15.0
81600,WI,F,582,173,231,1,8740,0,54,195,212,9.714285714,0,0,R2,5.0
104467,KS,M,640,168,302,0,11377,3,31,292,232,3.545454546,0,3201,C2,3.0
190647,MN,F,460,200,321,0,10559,0,82,279,258,7.166666667,2,0,R2,10.0
790,IL,M,580,286,377,0,12400,0,86,343,324,8.363636364,1,2601,R2,15.0
153319,CA,F,1510,414,528,10,23110,15,26,522,450,20.0,0,4601,U1,35.0
21769,NC,M,598,253,338,1,11918,1,77,294,301,8.0,1,0,T2,9.0
57419,KY,F,910,484,537,1,17977,2,56,492,525,7.5,0,6201,S1,10.0
107195,NE,F,480,254,394,0,12217,1,62,359,306,15.0,2,4801,C2,10.0
139062,AZ,Female,592,227,267,0,9711,2,19,210,264,10.30769231,0,3501,0,20.0
147529,NC,female,279,154,207,0,5922,0,88,163,194,25.0,1,3810,S1,20.0
52574,Tennessee,F,619,172,329,1,10705,4,67,247,277,8.217391304,0,4501,R2,12.0
41482,FL,F,513,210,283,1,9233,7,39,234,260,3.411764706,0,2501,C3,5.0
165287,CA,M,2811,524,645,72,23861,8,60,577,599,17.25,1,5401,C1,22.0
41569,FL,F,1079,347,756,2,24541,6,36,714,519,10.0,0,2507,U1,18.0
1959,CA,F,2670,394,574,82,24896,18,29,493,461,35.0,28,5801,S1,50.0
182490,GU,M,0,0,0,0,0,0,0,0,0,6.25,1002,6311,T2,10.0
87680,MT,female,828,236,329,10,12366,2,46,264,306,8.043478261,0,0,R2,12.0
16643,NC,female,895,422,492,1,18352,2,58,458,452,13.66666667,0,1401,C1,12.5
27338,GA,U,456,223,325,0,10736,0,50,267,272,5.666666667,2,0,R3,7.0
155907,CA,F,713,212,276,2,11909,10,23,235,237,13.0,2,0,T3,15.0
144050,CA,M,5982,1500,1228,99,106273,34,41,1500,1214,22.5,1,0,S1,22.0
108420,LA,F,650,139,238,0,9698,6,75,131,243,8.909090909,0,3306,C2,13.0
21373,NC,female,498,243,326,1,11462,0,86,284,285,5.166666667,0,5901,T2,7.0
61108,IN,M,399,217,347,0,11919,2,78,309,279,7.2,0,3701,C3,7.0
87024,MT,female,395,135,186,0,5225,1,88,137,181,21.74111111,0,0,R2,5.0
179673,WA,male,1546,416,534,12,20632,9,43,508,489,3.642857143,1,1701,U1,5.0
179606,WA,F,1326,269,476,14,22329,6,42,401,347,7.25,28,1910,T1,15.0
144038,CA,F,5000,405,711,98,33566,40,21,618,541,20.0,0,0,U4,50.0
5496,KY,M,323,125,201,0,7798,0,82,149,157,11.5,1,1309,R3,5.0
118805,TX,F,1095,520,648,1,20341,1,56,600,584,10.0,2,4304,C1,20.0
66300,MI,M,675,178,303,0,13159,4,79,249,254,11.53846154,1,811,U1,14.0
168648,CA,M,1685,265,408,34,18752,7,41,340,325,7.545454545,1002,4210,S1,14.0
33420,FL,M,702,403,468,1,14780,8,45,423,419,12.2195122,1,4210,C1,25.0
139141,NM,M,601,206,289,1,9801,1,69,225,251,13.0,1,5801,T2,25.0
182056,WA,male,558,211,285,0,8733,6,56,227,247,2.463414634,1,3002,U3,5.0
15384,NC,female,452,219,268,0,8728,0,88,246,261,10.0,28,3801,C2,15.0
171083,CA,F,882,349,410,0,13153,9,45,373,372,16.51851852,0,4301,S2,25.0
171581,CA,M,2644,440,566,56,18944,4,58,447,555,12.5,1,1001,S1,5.0
13288,FL,F,896,392,520,7,21975,6,16,430,466,15.3,0,4901,C2,20.0
102589,MO,M,465,266,313,0,10037,1,79,292,285,7.733333333,0,2607,R2,100.0
43119,FL,F,845,334,511,13,25715,6,10,351,496,6.25,0,0,C2,9.0
167202,CA,F,2907,420,547,88,18195,1,59,514,463,9.0,0,1101,S1,15.0
143332,CA,M,1964,401,540,48,15640,22,47,487,419,10.16666667,1,3101,U1,13.0
126945,TX,M,783,319,350,0,10631,0,71,350,340,10.45454546,1,5504,T1,10.0
137900,AZ,M,483,198,283,0,9290,7,46,231,245,4.833333333,2,3008,R2,5.0
47161,AL,Male,661,332,415,0,15892,0,80,347,380,8.8,1,1911,S1,10.0
48551,AL,F,380,152,261,1,8807,2,88,179,227,15.0,0,4401,R3,20.0
186482,NE,M,670,410,433,0,13151,0,65,413,432,7.833333333,1,5101,S2,15.0
97537,IL,M,316,200,278,0,9619,1,86,256,237,4.142857143,1,7001,T3,4.0
175782,OR,F,953,319,455,1,15729,3,45,379,387,15.0,0,0,S2,21.0
2691,NV,,834,260,340,0,13687,9,26,311,297,10.25,1,0,C2,16.0
39031,FL,F,1200,537,643,4,22219,9,26,613,576,7.857142857,0,5401,U1,15.0
94902,IL,M,1031,305,437,0,15146,34,56,390,383,30.0,1,0,U1,30.0
60104,NV,F,891,442,440,0,13070,3,18,446,439,8.714285714,28,0,S2,5.0
163843,CA,M,3543,484,624,92,21140,28,44,575,556,10.6,1,4609,S1,16.0
8768,CA,M,1547,516,526,16,13896,15,60,522,529,12.6,2,1901,0,15.0
190626,FL,M,768,174,249,7,7802,6,41,201,220,8.785714286,0,2904,C3,10.0
145786,CA,M,2126,498,523,63,13783,7,61,510,489,7.3,1,1904,U2,20.0
1927,WA,F,1133,615,681,6,22163,3,36,626,651,13.33333333,0,5801,T1,15.0
157100,CA,F,2556,490,744,88,40178,14,27,670,610,17.27272727,0,4703,T1,27.0
166870,CA,F,3700,444,667,91,31003,14,58,583,559,12.5,28,0,S1,14.0
108724,LA,M,565,259,339,4,11314,0,89,293,305,6.846153846,1002,4001,T2,12.0
62400,IN,F,975,301,393,1,17572,4,51,366,322,3.407407407,0,1801,S2,3.0
19864,NC,M,632,343,340,0,10586,11,36,316,344,5.285714286,1,4001,C2,5.0
11961,CA,F,2645,644,697,87,20782,26,46,655,682,21.6,0,5801,S1,25.0
20302,NC,U,401,202,289,0,9283,1,89,259,243,3.823529412,0,0,R3,1.0
188190,SC,F,918,315,398,3,16983,1,26,335,349,5.766666667,0,2001,T3,5.0
174974,OR,M,515,203,301,1,11169,2,56,256,265,7.272727273,0,2603,R2,10.0
97315,IL,M,875,221,241,0,8941,0,79,218,243,7.6,1,2801,C3,14.0
111981,AR,Female,439,192,249,0,10106,1,31,226,217,8.0,2,0,R2,20.0
118361,TX,F,962,389,409,3,15980,0,45,369,415,9.277777778,2,2209,R1,10.0
131434,CO,F,862,247,316,1,11640,5,25,301,283,20.0,0,2601,R1,20.0
55503,MS,M,506,155,289,1,7983,0,84,245,231,8.4,0,1401,R2,10.0
106862,NE,F,600,362,426,1,13652,1,62,377,392,3.761904762,0,5101,S2,10.0
119315,TX,F,345,202,209,0,5623,28,62,206,208,8.833333333,0,7301,C3,13.0
27010,GA,U,952,468,565,1,18812,2,46,521,526,10.375,0,0,T2,16.0
186448,CA,M,5725,610,807,97,53158,13,22,763,698,5.606060606,2,0,S1,10.0
92348,IL,F,2016,618,725,51,26626,5,79,633,700,8.6,0,4201,S1,10.0
115179,OK,F,660,328,394,0,13846,2,59,405,375,15.0,0,6601,T2,10.0
27039,GA,F,562,280,341,1,10622,0,75,300,311,15.0,2,0,R2,15.0
27968,GA,F,3077,620,692,70,29524,8,10,754,617,5.272727273,2,0,R2,5.0
86985,MT,female,832,419,476,1,15659,0,57,433,480,9.153846154,0,4401,C2,15.0
23989,SC,F,517,197,317,0,11616,0,83,266,243,8.333333333,2,2501,T2,15.0
155114,CA,,1176,251,373,10,13924,2,54,314,308,9.111111111,0,8108,S2,14.0
35914,FL,M,693,373,463,7,16854,1,24,457,413,4.3,1,2802,S2,2.0
92148,IL,M,1418,415,551,23,26282,3,68,507,467,16.5,1,6001,C1,25.0
94177,IL,F,904,339,435,0,16711,10,78,394,391,5.5625,28,3203,S2,11.0
24902,SC,M,473,259,356,0,11727,0,83,296,287,7.166666667,0,0,T2,8.0
178433,ID,M,605,213,303,3,10788,2,38,241,269,19.6,2,3503,S1,35.0
18466,NC,female,594,267,309,2,10466,1,71,287,287,3.928571429,2,5801,R2,6.0
157425,CA,M,0,0,0,0,0,0,0,0,0,22.5,1,4501,0,25.0
166891,CA,M,4244,613,845,94,31903,4,49,818,708,7.357142857,2,2906,S1,10.0
54530,MS,M,448,195,286,0,8183,0,64,224,247,9.916666667,1,0,R3,10.0
41819,FL,M,467,192,323,0,10376,6,33,261,261,10.0,1,4801,U4,15.0
148636,CA,F,2392,257,406,74,13896,43,27,365,316,11.0,0,1201,U2,10.0
70090,MI,F,313,284,329,0,14328,0,68,281,292,11.5,0,4611,C3,21.0
11704,IL,M,128,309,363,0,13164,7,76,345,340,8.615384615,1,2603,S2,10.0
86775,ND,M,253,195,261,0,8988,1,89,215,234,4.230769231,1,0,R3,10.0
124935,TX,M,689,324,394,1,12916,4,60,356,370,19.52380952,2,1701,R2,25.0
147600,CA,F,3514,671,746,94,30696,23,53,732,717,5.222222222,0,0,U1,5.0
101596,MO,F,313,138,216,0,7617,1,62,165,189,17.75,0,0,R3,16.0
175000,OR,F,944,355,454,3,14928,2,45,350,430,13.09090909,2,3307,T2,17.0
14798,CA,F,1089,296,352,3,12998,10,51,324,328,8.826086957,0,1211,S2,10.0
120800,TX,M,623,222,373,1,12743,2,70,348,301,9.0,1,3201,C2,10.0
187639,FL,M,1327,527,649,6,23089,6,18,573,564,8.333333333,1,0,C1,10.0
142487,CA,F,5438,881,1051,95,40432,30,43,967,928,15.0,28,201,S1,20.0
134895,UT,F,546,267,295,0,7072,1,67,278,283,5.434782609,0,0,R2,10.0
171205,CA,F,AAA689,205,388,4,22845,4,71,221,337,7.454545455,228,0,R2,12.0
7451,SC,,608,229,362,1,13829,2,43,350,268,14.82352941,2,1401,C1,22.0
95450,IL,F,377,241,306,1,10701,2,80,283,281,10.16666667,0,5201,T3,11.0
129598,CO,M,756,405,430,0,15709,2,45,423,394,23.85714286,1,5007,S3,37.0
99268,IL,M,377,256,309,0,11657,0,71,304,275,9.8,1,3905,R3,15.0
82739,MN,M,604,266,435,0,21127,10,64,372,302,11.66666667,1,6201,S2,20.0
81319,WI,F,310,232,339,0,9741,1,90,258,309,9.833333333,0,0,R3,15.0
1685,CA,,1130,333,431,9,15654,7,63,383,385,14.0,0,3001,R2,20.0
108781,LA,F,703,322,417,5,15510,4,65,394,353,15.25,0,2610,T1,24.0
188999,ND,M,696,376,418,0,13495,2,84,407,377,5.46,0,0,C1,5.0
72936,MI,M,457,244,306,0,9868,3,87,272,278,9.592592593,1,6111,R3,20.0
143011,CA,,5727,694,981,99,47422,25,32,1051,826,5.346153846,0,0,U1,5.0
66219,MI,M,1139,630,713,8,27594,3,72,676,670,35.0,1,5612,S1,50.0
159883,CA,F,554,183,224,0,7394,4,74,186,211,5.4375,2,2207,C3,10.0
95525,IL,M,606,304,350,1,13662,1,72,322,320,37.5,1,0,R2,30.0
188778,FL,,635,225,291,1,10611,5,31,248,269,13.25,0,5603,0,20.0
55527,MS,female,393,189,357,0,11906,6,75,224,266,5.375,0,6409,C2,4.0
151788,CA,F,1407,368,386,6,11969,8,59,407,369,10.2,0,3301,U3,10.0
173997,HI,M,3500,365,588,86,27042,24,50,521,486,20.0,1,3701,U1,20.0
145383,CA,M,3617,549,599,96,19464,15,52,558,614,6.666666667,1,3801,S1,10.0
176221,OR,F,625,247,343,0,13242,8,47,274,301,7.222222222,0,0,S2,13.0
50688,TN,F,640,284,377,0,13077,1,76,310,347,9.235294118,28,3001,R2,10.0
69116,MI,F,1151,483,595,2,18525,0,88,496,551,15.22222222,0,4503,S1,20.0
72193,MI,F,918,388,525,17,18658,6,73,407,489,20.0,2,5101,T2,10.0
11611,CA,M,1769,330,435,32,16587,1,56,382,410,17.5,1,0,T2,10.0
46129,FL,M,973,323,396,7,12469,3,32,365,368,13.14285714,1,0,R2,10.0
52398,TN,F,418,230,306,1,9690,0,84,238,293,11.14285714,0,5001,R2,14.0
190408,FL,,AAA713,255,331,0,13727,13,7,273,294,6.6,0,3104,C2,7.0
145214,CA,F,1778,393,513,30,17324,7,45,502,445,13.0,28,4601,U2,20.0
155528,CA,F,1185,244,409,10,15753,6,47,384,311,9.666666667,0,2101,C2,10.0
94239,IL,F,4750,250,378,81,17013,27,40,285,314,10.0,0,0,U2,15.0
188054,CA,,2176,419,483,65,14484,10,61,453,461,7.076923077,0,0,C1,13.0
128642,TX,F,363,274,331,1,10120,4,64,324,283,6.8,0,6401,T3,10.0
174422,OR,F,1036,436,603,10,22334,7,42,524,520,4.166666667,0,0,0,5.0
190035,TX,F,899,504,502,0,17300,2,53,500,510,10.0,2,0,S1,10.0
140429,NM,M,0,0,0,0,0,0,0,0,0,21.72222222,1,0,T3,25.0
168242,CA,F,2741,414,461,87,18997,5,62,453,467,12.5,0,3001,U1,12.0
73873,MI,M,1114,377,618,5,21787,6,67,516,492,15.22222222,2,1604,S1,32.0
78270,WI,male,277,169,221,0,6074,0,48,173,219,10.0,1,3401,U4,15.0
108819,LA,F,456,165,251,1,7768,0,87,208,216,4.333333333,28,0,R3,4.0
4991,KS,F,436,313,363,0,10419,1,67,321,351,16.78571429,2,2010,T2,23.0
86387,ND,M,338,248,350,0,11687,1,82,274,318,10.0,1,1001,R2,10.0
24997,SC,F,474,282,331,0,9849,2,72,332,316,20.0,0,4701,T2,5.0
189958,TX,F,838,306,455,0,14811,0,77,403,394,3.939393939,3,1610,T2,5.0
120022,TX,F,825,564,611,1,19618,3,51,572,590,10.0,0,5401,T1,20.0
36809,TX,M,876,515,574,0,18148,8,55,525,576,4.266666667,0,1201,S2,5.0
99761,MO,M,631,370,398,0,12100,0,80,380,382,6.6,1,6801,T2,6.0
68120,MI,F,698,340,436,0,15577,6,83,396,355,12.71428571,28,3908,U2,20.0
102372,MO,M,557,298,365,0,13056,4,61,364,326,13.0,1,0,S2,23.0
6050,MO,F,691,311,411,1,12519,0,84,347,383,10.62921348,0,0,0,32.0
118657,TX,F,368,171,245,1,10255,1,80,200,227,7.75,28,0,R3,11.0
169135,CA,F,1751,273,340,37,12557,4,63,282,328,25.0,0,0,C2,10.0
187748,FL,,865,341,432,3,15630,7,21,387,392,8.375,0,0,0,7.0
73786,MI,M,1176,558,672,3,21886,1,80,608,609,8.0,1,2303,S1,12.0
47276,AL,Male,485,247,370,1,12619,1,92,378,305,7.181818182,1,4001,T2,6.0
27329,GA,M,684,282,375,1,13025,1,75,318,336,15.0,2,4601,T2,15.0
102579,MO,U,300,240,322,0,10527,0,81,283,285,5.0,0,0,R2,5.0
145403,CA,F,2730,294,447,89,15068,17,55,304,391,5.127659575,0,602,S2,10.0
59814,IN,F,392,249,343,0,11274,0,85,301,295,5.4535,28,4001,R3,5.0
85059,MN,M,303,254,337,0,12469,1,86,294,299,3.722222222,1,1701,R2,5.0
168103,CA,M,1279,280,276,5,6474,56,35,249,315,8.0,1,4201,U3,10.0
13452,FL,M,562,257,313,0,11595,6,21,268,312,7.625,1,2001,C3,10.0
183673,WA,F,413,214,249,0,6780,29,43,227,229,9.0,0,1108,R2,10.0
160306,CA,F,1283,360,380,0,12397,6,45,386,367,12.33333333,2,2601,T2,10.0
140347,NM,M,911,224,378,8,12142,7,57,285,319,8.0,0,0,C2,10.0
57092,KY,M,1110,452,542,6,17207,0,79,474,532,23.66666667,0,5308,T1,36.0
171216,CA,F,1361,368,487,13,16200,9,43,409,441,5.833333333,0,3601,S2,5.0
111861,AR,M,340,136,196,0,7061,1,76,150,165,3.6,1,2212,T3,5.0
66393,MI,M,605,369,441,1,14582,2,14,415,377,21.0,0,5412,T2,50.0
189848,FL,M,885,264,414,6,18769,18,11,331,343,9.733333333,1,1801,C2,12.0
103298,MO,F,588,258,340,0,11512,2,69,310,293,12.5,0,7101,R1,15.0
104442,KS,F,2172,1033,1078,56,42625,4,45,1048,1031,23.33333333,28,4608,S1,35.0
83279,MN,F,1300,596,772,3,28518,1,66,717,674,9.0,0,4501,S1,19.0
153026,CA,F,1625,196,256,0,10679,7,23,197,238,6.214285714,2,2601,C3,10.0
162687,CA,F,3238,271,402,93,21383,17,45,389,325,15.4,0,4001,U1,35.0
133283,ID,M,595,276,323,1,9788,2,52,283,312,10.83333333,1002,0,R2,15.0
58934,KY,F,282,169,225,1,7323,0,87,198,190,15.0,0,0,R3,10.0
151195,CA,F,3905,882,989,95,35563,14,37,1022,923,8.25,0,1001,0,10.0
1322,MI,F,376,397,412,0,15260,3,77,401,405,12.42857143,28,4301,U2,14.0
157307,CA,M,3254,481,614,91,18646,16,44,607,485,25.0,1,6001,U1,30.0
175582,OR,F,411,198,240,0,9565,6,55,225,225,9.428571429,28,6011,C3,15.0
78875,WI,F,1043,519,604,3,22555,10,64,544,578,15.0,28,403,S1,15.0
57705,KY,F,375,145,205,0,8278,0,72,138,189,3.576923077,0,0,U4,5.0
70039,MI,M,828,452,594,5,21946,6,76,495,515,10.13333333,1,5002,T2,13.0
138307,AZ,Female,1711,401,608,33,23098,9,18,441,527,12.4,0,4310,S1,18.0
163614,CA,F,4051,588,630,97,21692,22,57,605,617,4.571428571,0,0,U1,10.0
21966,NC,female,824,285,356,3,13339,2,59,305,333,5.92,2,0,R2,6.0
44433,FL,M,606,220,290,2,11294,6,24,244,265,11.0,1,2308,C2,10.0
189234,NV,F,781,221,321,1,13071,4,15,263,294,6.333333333,28,0,U3,5.0
37304,FL,M,640,244,335,9,12992,4,40,266,303,7.642857143,1,3911,S1,5.0
35728,FL,M,786,339,361,1,11296,9,24,354,349,11.33333333,0,4801,T2,10.0
30640,GA,F,629,256,420,0,15293,5,54,339,319,10.33333333,0,3311,C2,15.0
7734,WI,male,683,331,397,1,13025,2,92,349,367,11.22727273,1,2512,T2,20.0
42776,FL,M,1385,300,472,31,21226,5,13,358,391,14.0,2,0,C1,16.0
44817,FL,F,534,197,254,0,9144,2,25,223,231,3.357142857,2,1806,T3,5.0
165241,CA,M,2589,620,733,81,28038,5,60,650,692,11.75,1,2602,C1,15.0
111371,AR,U,655,356,412,0,13334,2,48,401,362,8.6,0,0,T2,20.0
134398,UT,F,777,317,431,2,14867,4,59,408,346,7.555555556,2,2501,U1,10.0
88868,IL,F,2313,502,725,65,28018,9,56,646,579,7.428571429,0,2401,S1,8.0
183223,WA,male,876,337,439,3,15017,4,37,353,403,15.25,1,5601,S2,23.0
186925,SD,F,235,211,295,0,9870,1,84,257,250,10.91666667,0,3001,R2,15.0
132097,CA,F,1988,364,494,49,17239,15,38,463,429,12.375,2,3801,T2,13.0
61962,IN,F,970,314,455,11,15281,1,66,370,389,12.66666667,0,0,T2,25.0
162656,CA,F,685,166,257,0,7945,3,60,205,227,17.4,0,0,T2,20.0
79602,WI,male,937,321,545,7,18567,13,52,441,433,10.57692308,2,1102,S1,15.0
65578,MI,F,693,399,481,0,15421,1,88,415,446,10.11111111,28,2102,U3,21.0
169186,CA,M,1050,256,339,6,11406,1,59,290,296,5.2,1,2801,R2,9.0
189438,HI,M,1563,263,360,50,16647,28,15,349,275,7.666666667,1,4101,U2,9.0
110871,AR,Female,341,160,252,0,8707,1,80,215,215,4.0,2,1010,R2,5.0
168370,CA,F,2798,425,474,76,21926,29,36,428,469,14.5,0,5804,S2,15.0
156618,CA,,2043,364,423,53,19087,19,56,385,412,9.666666667,0,4401,S2,25.0
109858,LA,F,772,369,446,0,16215,0,70,365,447,9.7,0,5512,S1,15.0
99501,MO,F,988,509,529,2,15666,1,80,521,509,10.0,0,5701,S1,10.0
125467,TX,F,431,194,223,0,8888,8,61,209,219,12.5,0,0,C3,15.0
55956,FL,F,1625,450,660,35,33485,5,21,531,578,9.25,0,0,C1,10.0
103644,MO,F,376,178,248,0,10244,0,71,233,219,6.0,0,0,T2,10.0
39613,FL,F,701,332,403,1,13020,6,37,348,394,9.685,2,5610,S3,5.0
159,MN,M,530,236,359,1,12208,1,78,307,296,9.310344828,2,1602,R2,12.0
129748,CO,F,1208,560,612,0,18843,4,29,549,616,13.8,2,5701,S1,16.0
174576,OR,F,681,335,419,0,14011,5,54,398,356,30.75,28,4801,S2,51.0
71639,MI,M,755,496,578,0,16944,6,57,530,520,12.14285714,1,2301,S1,17.0
172851,CA,M,1148,240,423,15,16188,5,49,311,321,13.0,1,5001,C2,10.0
164364,CA,F,2332,508,574,71,19798,6,59,533,528,5.714285714,0,5201,S1,6.0
176253,OR,F,1506,517,711,20,39301,6,35,573,632,32.91666667,2,1309,R2,50.0
140181,CO,F,487,117,197,1,9103,5,32,152,161,3.444444444,28,2201,T2,3.0
5331,NC,U,1618,508,635,12,22608,6,35,580,527,11.54545455,2,0,C1,14.0
31953,IL,M,1210,471,553,3,17995,8,61,519,511,12.22222222,1,0,T1,12.0
79399,WI,male,487,298,360,0,11498,1,82,322,328,17.5,0,5507,R2,30.0
74732,MI,M,229,214,285,0,8985,2,69,260,246,15.91666667,1,0,R2,15.0
36395,FL,M,885,345,595,1,30256,4,5,565,473,11.1,1,1601,C2,15.0
75835,IA,,298,234,279,0,9825,4,64,250,269,3.857142857,0,4401,C3,5.0
4606,IL,,1045,288,399,1,12829,33,56,347,337,24.75,0,2509,U3,25.0
51234,TN,F,484,232,318,0,10806,4,62,324,265,9.5,28,2301,S3,25.0
71616,MI,M,501,397,434,0,12437,2,71,403,424,27.625,1,5601,S2,50.0
182697,WA,U,613,246,335,2,11634,3,56,290,296,20.0,2,0,R1,20.0
173100,CA,F,625,172,250,0,8875,1,63,190,226,13.0,0,0,R2,21.0
172784,CA,F,688,175,292,0,9422,3,66,187,258,5.571428571,0,3201,R2,5.0
145637,CA,F,2908,606,717,87,23934,5,54,644,677,16.25,0,4801,S1,25.0
41445,FL,M,1007,433,608,16,22698,5,30,498,543,17.5,1,5201,S1,35.0
