CONTROLN,STATE,GENDER,HV1,IC1,IC4,HVP1,IC5,POBC1,POBC2,IC2,IC3,AVGGIFT,TCODE,DOB,DOMAIN,TARGET_D
150684,CA,M,2476,366,537,71,15702,50,38,453,470,17.66666667,1,0,0,34.0
162341,CA,F,3693,358,442,97,16753,23,56,393,393,11.28571429,0,0,S1,14.0
56407,KY,F,382,173,259,0,9037,0,92,211,233,10.64705882,0,2707,R3,20.0
188988,IN,,667,243,351,1,12239,2,70,311,298,6.285714286,28,0,0,7.0
35581,FL,M,906,296,473,3,16729,4,37,377,360,10.42857143,1,2812,S1,15.0
46358,FL,M,715,362,408,0,12806,6,28,371,388,7.466666667,1,1801,T2,9.0
109533,LA,M,576,290,375,2,9596,1,66,318,339,7.5,0,3201,T2,25.0
81322,WI,male,335,209,311,0,9461,1,88,252,268,10.05555556,1,0,R3,15.0
179275,WA,F,1424,419,506,21,16767,4,56,446,477,9.2,0,4501,T2,25.0
48691,AL,F,733,316,412,0,19790,1,75,378,374,10.0,0,2702,C2,20.0
24420,SC,F,1333,162,476,11,4738,2,29,451,234,8.625,4,4001,C1,12.0
165368,CA,M,3899,733,811,97,28586,14,49,786,749,33.33333333,1,3201,S1,20.0
41545,FL,M,658,373,436,0,14942,11,23,392,417,5.789473684,1,0,S2,5.0
106235,KS,M,498,273,346,0,12893,0,69,302,304,5.0,1,1801,T2,5.0
133640,ID,M,793,359,505,16,19844,0,45,372,464,7.5,1,3210,C2,10.0
176443,OR,F,641,291,391,1,12815,4,45,300,356,14.0,0,2103,R2,10.0
190976,AZ,,558,298,345,0,10331,4,33,301,327,14.77777778,0,0,C2,20.0
145911,CA,F,3314,781,828,99,25608,33,47,755,820,11.66666667,0,0,S1,10.0
32984,AP,Male,0,0,0,0,0,0,0,0,0,9.5,1,0,S1,8.0
67541,MI,F,558,344,414,0,14032,0,69,366,398,6.363636364,28,5601,C2,7.0
86803,MT,female,419,184,279,1,9682,1,63,214,253,7.333333333,2,0,R2,10.0
100324,MO,F,1783,577,653,36,26826,0,62,603,609,20.0,0,4901,S1,20.0
132444,CO,F,543,428,434,0,12010,1,55,431,421,15.0,0,4804,T2,20.0
107235,NE,M,1344,639,758,12,27610,4,53,733,676,7.214285714,1,3001,S1,11.0
67304,MI,F,1335,597,724,24,28770,4,67,682,644,22.25,0,4802,T1,20.0
82040,WI,male,493,213,294,1,10815,2,81,248,258,2.674418605,1,2403,R2,3.0
43674,FL,F,888,328,410,0,17342,5,13,368,371,5.714285714,28,0,C2,10.0
159171,CA,F,1968,416,496,45,16541,9,50,485,449,9.4,0,3308,C2,15.0
64400,IN,M,1033,329,473,4,16482,14,47,460,376,15.0,1,5701,C1,21.0
11284,FL,M,934,324,478,9,17408,4,11,391,404,6.366666667,0,3201,C2,4.0
74419,MI,F,578,242,328,1,12451,2,83,306,279,9.857142857,0,0,T2,10.0
55840,MS,M,406,240,265,0,6733,1,61,243,255,17.5,0,4701,T2,16.0
22176,NC,M,474,163,253,1,10597,1,73,205,218,9.133333333,1,0,R3,12.0
25678,FL,M,721,302,365,2,12474,3,51,339,335,8.875,1,0,C1,20.0
107569,NE,M,443,231,323,0,11042,1,79,288,281,36.11111111,1,4601,R2,50.0
70301,MI,F,841,334,462,0,17676,2,79,409,378,10.0,2,3101,S1,5.0
39020,FL,M,724,327,371,0,15784,19,25,384,319,12.5,1002,4801,S1,21.0
125906,TX,F,924,414,438,1,14092,3,55,443,427,4.666666667,1,2901,T1,6.0
23934,SC,F,1056,405,485,5,15432,6,78,498,444,3.589285714,2,5201,T2,25.0
112751,OK,F,1017,672,673,2,18233,0,55,700,647,13.8,0,4201,T1,50.0
3651,MI,F,668,300,385,8,14567,3,24,322,344,25.83333333,2,3001,0,25.0
1068,CA,F,3528,814,867,98,25564,18,43,808,867,6.162790698,2,3103,S1,5.0
120128,TX,F,417,277,326,0,10308,0,89,300,258,14.0,0,3501,R2,15.0
152092,CA,F,1232,203,267,1,10129,14,37,229,241,3.714285714,28,3201,C3,5.0
85913,SD,M,396,248,304,1,10419,1,18,274,284,9.727272727,1,3001,R2,14.0
43226,FL,M,764,269,353,1,13439,10,9,307,317,15.0,1,2201,C2,20.0
60738,IN,F,877,419,496,0,16981,14,53,473,450,5.25,2,4901,S1,5.0
60571,IN,M,696,354,472,3,15493,0,73,402,407,10.5,1,0,T2,15.0
131913,CO,F,1109,513,636,4,20235,0,64,587,606,13.25,0,1607,S1,19.0
172140,CA,F,2099,588,643,53,19738,3,66,609,610,10.7,0,5201,T1,10.0
147753,CA,F,4778,792,987,95,35530,9,58,981,849,19.25,0,2701,S1,25.0
161856,CA,M,2264,430,392,68,16795,13,42,441,404,11.0,1,1901,C1,15.0
140611,NM,F,740,240,324,2,10701,9,26,288,294,4.375,2,5101,T2,4.0
30068,GA,F,573,250,316,0,9846,1,84,295,285,7.153846154,0,5001,R2,12.0
96175,IL,M,258,60,209,0,4884,7,63,120,89,5.555555556,1,1501,T3,5.0
727,IA,F,240,232,315,0,10744,1,85,280,271,2.260869565,0,2401,R3,2.0
188893,NC,M,701,297,468,1,15258,3,74,335,405,15.5,4,0,T2,25.0
110425,LA,F,305,95,182,1,6104,0,83,103,162,13.33333333,0,5201,R3,20.0
54897,GA,,1271,733,752,4,23282,5,39,752,743,15.09090909,1,5509,S1,20.0
173772,HI,F,1233,310,399,20,11450,11,71,347,365,7.923076923,0,0,R2,10.0
25560,GA,F,802,479,555,1,16469,2,65,488,531,11.05882353,2,4101,C2,14.0
185886,WI,male,929,315,438,3,17069,4,80,403,341,5.142857143,1,0,S2,5.0
175847,OR,F,2070,540,876,53,33467,4,41,781,678,5.5,0,3001,S1,10.0
29610,GA,M,387,191,325,1,11604,0,74,221,285,4.923076923,1002,0,T2,5.0
86926,MT,female,585,197,288,0,11955,1,58,244,228,8.8,0,3001,R2,15.0
179235,WA,male,1133,596,610,1,19287,2,59,596,591,9.0,1,6401,S1,12.0
8276,CA,M,5914,1490,1282,98,58689,17,38,1500,1275,12.63157895,1,4409,S1,15.0
27108,GA,F,656,304,312,3,14123,0,58,309,308,7.35,2,2101,S2,15.0
56860,KY,F,439,328,356,0,9955,0,84,335,350,11.25,0,6601,T2,24.0
157817,CA,F,2356,520,762,77,31180,7,43,683,651,11.28,3,4101,S1,11.0
135296,AZ,Female,967,254,408,13,19177,7,9,359,287,6.333333333,0,1501,C2,11.0
80995,WI,male,342,174,262,0,8356,1,81,228,217,5.857142857,1,2509,R3,5.0
95943,IL,M,435,353,373,1,13341,1,65,399,345,10.0,1,2901,C2,13.0
188141,FL,,578,248,338,6,12336,3,51,280,309,14.42857143,1,0,S1,25.0
13523,NV,F,463,177,233,0,8068,0,51,189,221,14.0,0,4103,R2,40.0
7518,WI,male,607,298,361,1,12279,1,82,330,324,4.842105263,1,0,0,5.0
7637,Tennessee,F,353,179,258,0,9059,0,51,220,221,9.0,0,1801,R3,10.0
40655,FL,M,810,295,430,0,19398,2,24,373,374,11.0,0,3601,C2,20.0
87505,MT,female,375,200,222,0,7976,0,62,181,225,8.388888889,0,2101,C3,8.0
176380,OR,M,865,459,615,4,21364,6,36,536,530,10.0,0,4901,C1,15.0
45367,FL,M,1172,455,525,6,18415,3,28,502,487,25.0,1002,6501,U1,30.0
112496,AR,Female,1906,512,896,44,41437,0,21,540,759,8.125,0,0,C1,10.0
119576,TX,M,916,505,571,0,18849,3,68,571,496,9.2,1,5901,S1,9.0
9923,TX,F,1234,363,561,19,21054,3,58,456,441,11.23529412,28,4501,0,14.0
69963,MI,F,567,359,405,0,14794,0,80,395,370,23.125,0,3908,S3,25.0
32538,FL,F,752,346,413,0,14353,9,24,367,374,5.307692308,0,1509,S2,6.0
175139,OR,M,685,237,338,0,11659,6,54,305,306,10.0,1,2812,T2,15.0
138552,AZ,M,611,289,354,0,9529,7,56,302,332,10.30769231,1,2103,S2,10.0
160103,CA,F,0,0,0,0,0,0,0,0,0,5.25,0,3601,S2,5.0
152151,CA,M,1447,296,434,9,17489,9,44,402,355,23.85714286,0,0,S3,42.0
174271,HI,M,2786,301,393,68,16808,19,67,366,340,15.83333333,1,0,U1,18.0
41434,FL,M,782,435,451,0,14253,2,33,437,443,6.588235294,1002,4710,U4,5.0
3312,WI,male,930,397,552,2,17794,1,76,511,441,11.44444444,1,5001,T1,15.0
120805,TX,F,693,332,390,5,15009,3,75,339,367,6.428571429,0,3501,C2,5.0
2889,OK,F,208,210,305,0,11711,0,60,261,261,3.181818182,2,1601,R2,3.0
162271,CA,M,4474,467,687,87,27544,18,41,608,583,10.0,0,0,S1,15.0
74955,IA,F,334,165,268,0,10461,0,84,193,219,12.61290323,0,2411,T3,10.0
151846,CA,M,1234,284,284,2,8270,27,38,276,308,5.75,0,0,S1,10.0
148546,CA,M,4286,811,947,95,33614,24,41,910,883,5.133333333,1,1201,S1,6.0
12837,IL,F,1072,547,636,0,17662,10,83,597,555,18.6,28,5401,S2,10.0
119868,TX,F,696,409,470,1,18427,1,77,439,439,10.42857143,0,1302,T1,10.0
185517,CA,M,1734,607,674,31,22234,5,50,635,638,8.571428571,1,3301,S1,10.0
441,IL,F,550,91,254,6,10050,0,49,163,166,5.5,2,4101,U4,10.0
132347,CA,M,3874,776,852,94,29217,6,42,759,865,14.0,1,0,C1,20.0
127444,CO,M,759,270,352,3,13278,5,32,307,316,18.5,1,5609,C1,21.0
149767,CA,M,2105,535,578,59,17785,43,28,555,557,10.44444444,1,2903,U2,15.0
172315,CA,F,1368,379,528,20,23121,7,56,416,487,6.852941177,2,1506,U1,8.0
43001,FL,F,1167,267,349,20,14192,11,20,274,323,15.0,0,0,C2,15.0
15416,NC,M,859,428,482,0,15841,1,71,454,442,20.0,1,5001,C2,30.0
141396,NV,M,1291,349,447,20,14894,4,23,373,402,10.5,1,0,S1,10.0
137743,AZ,Female,962,349,487,1,20739,13,4,379,419,5.733333333,2,2309,C1,8.0
118487,TX,F,420,171,293,1,10643,1,78,234,247,15.0,0,6801,R2,20.0
33393,FL,F,1571,473,526,28,21109,17,15,496,518,22.5,28,5101,T1,10.0
79622,WI,F,842,463,493,0,15371,3,70,469,492,9.913043478,202,1610,T2,5.0
99209,IL,F,517,303,416,1,15032,0,74,344,348,2.578947368,2,701,C2,3.0
23056,SC,F,1299,577,596,2,19461,0,43,589,590,4.0,0,4601,S1,12.5
105068,KS,U,731,354,423,2,14555,0,76,370,398,5.304347826,0,0,R2,7.0
170479,CA,F,670,182,252,1,8448,1,74,194,239,8.857142857,0,4201,R2,10.0
135174,AZ,Female,593,230,317,0,11405,3,42,319,272,12.75,28,3002,U3,25.0
116669,TX,M,444,203,286,0,9449,1,80,241,249,5.8,1,3201,S2,10.0
126415,TX,M,509,237,291,2,9830,26,49,262,263,5.333333333,1,3501,S2,5.0
97736,IL,M,570,273,406,0,15035,6,68,322,341,8.0,1,5303,C2,15.0
132437,CO,F,516,231,295,2,10607,1,56,252,275,9.857142857,2,3501,R2,13.0
169198,CA,F,960,288,314,2,13094,6,60,272,329,23.75,0,4201,C2,25.0
126949,TX,F,0,0,0,0,0,0,0,0,0,10.5,0,4001,C3,10.0
24040,SC,M,781,357,408,1,13977,1,54,375,373,8.769230769,2,3504,T1,20.0
51692,Tennessee,F,829,345,432,1,16592,0,57,394,404,10.6,0,2607,T1,15.0
38539,FL,F,1458,275,597,24,34713,22,3,446,427,5.5,0,3205,C1,13.0
181462,WA,F,978,312,384,5,12859,3,58,329,369,15.33333333,2,2001,R1,23.0
153771,CA,F,2111,463,580,56,22198,6,32,551,529,20.0,0,3201,C1,25.0
25558,GA,M,899,489,513,1,16749,4,60,503,503,10.5,1,4901,C2,15.0
182916,WA,F,666,358,486,1,17162,4,43,432,394,20.0,28,3401,C2,25.0
162213,CA,M,5000,665,827,98,37898,9,44,780,737,10.30769231,1,2201,S1,7.0
177039,OR,F,620,232,331,0,11354,3,44,288,284,9.729166667,0,2206,R2,21.0
107264,NE,M,612,359,400,0,14320,3,64,404,380,13.0,2,5201,C1,20.0
60708,IN,U,482,344,447,0,13525,0,55,429,401,3.117647059,2,0,T2,5.0
12234,CA,F,2247,357,500,60,18748,10,56,425,430,9.517241379,0,2201,C2,10.0
59240,IN,F,1395,575,704,28,24518,7,61,580,687,9.0,0,0,S1,10.0
127028,TX,F,586,242,348,0,13539,2,65,295,288,9.142857143,0,0,S2,18.0
72321,MI,M,628,310,369,2,12788,3,71,344,337,8.333333333,1,0,R2,10.0
161309,CA,M,1601,329,492,21,14811,13,62,351,453,11.85714286,1,5509,R1,18.0
58991,KY,M,277,112,168,0,5611,0,74,123,154,20.0,1,3302,R3,10.0
136772,AZ,,801,349,476,0,15610,2,34,416,410,12.22222222,980,5206,S2,19.0
190560,KS,M,220,181,272,0,9296,2,71,238,220,3.727272727,0,2601,0,5.0
158022,CA,F,2380,420,586,77,32129,6,21,490,567,8.47826087,0,1801,C1,15.0
177260,OR,M,492,198,284,1,9629,2,39,229,247,5.916666667,1,4606,R2,2.0
179257,WA,male,1449,605,657,3,17504,10,46,618,635,6.666666667,1,6201,S1,10.0
13434,NC,M,1044,269,329,15,12648,5,40,299,278,10.10526316,2,2202,R2,15.0
45351,FL,F,969,356,460,8,18690,6,14,390,401,26.0,2,2906,C2,25.0
102534,AZ,M,1390,386,482,18,25272,6,0,412,457,12.55555556,2,2209,T1,10.0
134159,UT,F,693,343,383,0,9139,2,81,357,367,20.0,0,0,T2,15.0
59746,IN,F,537,341,428,1,13705,1,82,393,388,4.848484849,2,0,T2,4.0
102953,MO,F,652,236,372,5,13699,2,57,309,303,15.0,0,5601,T2,21.0
149598,CA,F,2679,564,592,83,25475,16,44,600,595,8.95,2,710,U1,10.0
45968,FL,F,1155,328,458,12,15451,2,35,399,399,12.5,0,6101,R2,18.0
94486,IL,M,1358,447,501,3,18607,25,61,481,470,7.545454545,1,1501,U1,6.0
165641,CA,F,2192,364,487,68,17677,14,62,425,407,3.777777778,2,2501,U1,4.0
19779,NC,M,1285,608,676,11,23458,3,41,636,640,17.625,1,4301,S1,15.0
1249,IL,M,1435,423,517,6,18160,10,78,473,485,9.384615385,1,0,S2,32.0
57119,KY,M,556,247,322,0,10031,1,82,288,274,10.54545455,2,2111,T2,20.0
158615,CA,F,2875,290,442,75,24936,14,34,374,347,10.0,0,2601,S1,15.0
153353,CA,F,885,207,220,1,6142,35,47,171,263,18.2,2,2710,U4,27.0
42686,FL,F,824,263,352,3,13532,8,13,289,313,20.0,0,0,C2,20.0
71744,MI,M,727,148,463,2,18187,5,63,383,260,17.0,1,1104,C2,36.0
116608,TX,F,570,226,301,2,10637,1,76,249,276,10.0625,2,2201,R2,25.0
176138,OR,M,0,0,0,0,0,0,0,0,0,8.3125,2,0,C2,10.0
190789,MI,M,1770,712,730,15,24238,10,79,720,713,12.0,0,1707,S1,18.0
109450,LA,F,590,252,329,0,11072,0,77,282,309,7.545454545,2,2501,T2,11.0
102741,MO,F,238,176,287,0,10253,0,82,225,233,14.42857143,0,2201,R2,20.0
59598,IN,M,521,252,343,0,10057,2,71,297,293,18.18181818,2,0,T2,15.0
157481,CA,,2439,521,619,68,21808,17,48,572,574,17.0,0,5201,S1,19.0
21922,NC,female,844,263,352,21,12936,0,55,286,323,15.53571429,0,3001,R3,20.0
35908,FL,F,693,373,463,7,16854,1,24,457,413,15.0,0,5001,S2,20.0
105331,KS,M,237,194,261,0,9190,0,80,222,218,12.5,1,4801,R2,20.0
157728,CA,M,2102,342,463,57,16054,14,57,412,416,15.0,1,0,S2,20.0
81073,WI,F,571,243,349,0,13144,3,74,307,295,9.166666667,2,4701,C2,10.0
38471,FL,F,1033,471,598,25,22327,6,36,545,544,13.77777778,2,5001,0,25.0
163675,CA,,1693,423,492,23,17493,6,58,467,457,10.875,0,3501,U2,10.0
11195,MT,M,589,289,334,0,12204,0,54,318,294,11.8,2,1801,C2,10.0
5144,TX,M,1938,171,205,50,7708,33,40,174,197,10.06060606,1,0,C2,15.0
37221,FL,M,775,236,363,0,15628,14,8,296,308,3.956521739,0,1107,U3,6.0
187959,NC,,1024,360,429,11,15002,1,33,364,396,7.5,0,0,T2,10.0
95536,IL,F,886,482,433,3,13887,0,68,465,447,16.66666667,28,4601,T2,20.0
103330,MO,F,915,377,492,7,16206,3,62,432,445,10.33333333,0,4508,T1,50.0
174360,OR,F,1163,617,655,2,24280,12,30,631,633,8.916666667,0,5408,S1,11.0
173805,HI,F,2506,449,517,70,16302,8,55,455,501,8.875,28,1501,T1,50.0
30745,GA,F,717,339,424,3,14609,3,53,388,381,12.5,0,0,T3,25.0
20645,NC,female,405,187,214,0,7303,1,91,182,216,11.33333333,0,0,R3,10.0
27928,GA,M,1025,425,519,4,17688,1,58,493,470,13.0,1,1804,T1,12.0
80866,WI,F,438,342,373,0,11227,0,81,360,339,4.545454546,0,2701,R2,4.0
55408,MS,M,1449,735,791,28,29612,0,74,783,720,5.25,28,4612,T1,4.0
54674,MS,M,440,270,364,0,11109,0,75,288,315,4.705882353,1,2201,T2,5.0
185287,CA,F,1812,415,464,19,16451,7,52,452,435,4.615384615,2,6301,S2,5.0
178009,OR,M,779,215,262,1,9279,4,25,223,249,4.037037037,1,1803,R2,5.0
143069,CA,M,3431,549,664,86,20683,20,51,626,610,15.2,1,2601,U3,20.0
28874,GA,M,928,243,472,18,17216,11,68,310,396,17.5,2,3601,T2,21.0
144110,CA,F,5882,533,657,98,31652,40,23,596,623,9.777777778,0,3509,U1,15.0
77116,WI,F,660,308,370,1,11996,2,90,326,351,9.111111111,0,6101,R2,10.0
3553,WA,male,732,411,445,0,13863,3,33,425,434,16.28571429,1,1601,S2,20.0
60265,IN,F,225,191,226,0,7426,0,79,198,185,3.15,0,3803,C3,5.0
74552,MI,F,376,253,321,0,10637,1,89,304,281,4.555555556,0,0,T2,3.0
29215,GA,F,920,323,449,9,15305,1,65,375,404,17.375,0,2009,C1,38.0
3504,OR,F,700,360,424,0,13620,4,54,390,394,15.77777778,0,1901,S2,17.0
65114,MI,M,764,221,458,1,16824,3,74,385,305,3.966666667,2,0,T2,3.0
105823,KS,M,738,458,503,0,17494,1,60,509,479,6.5,1,4601,S1,2.5
26410,GA,F,821,361,442,0,16822,9,36,413,407,20.33333333,28,2201,S1,28.0
24080,SC,M,475,285,301,1,9446,0,86,302,275,25.0,0,4501,R2,25.0
159696,CA,F,1392,343,516,16,19194,14,72,381,484,15.0,28,5401,R2,15.0
24644,UT,F,866,399,475,2,10550,0,77,426,446,8.166666667,28,5201,T2,25.0
6457,CA,F,956,205,325,6,13234,8,34,272,272,6.085714286,2,0,T2,15.0
168317,CA,U,2341,311,502,70,13577,12,50,469,427,8.0,0,0,U1,13.0
159553,WA,male,1009,557,619,4,17660,1,44,562,615,5.333333333,1,3601,R2,7.0
56049,MS,female,398,243,309,0,9897,1,81,277,270,9.5,0,2709,R2,14.0
63865,IN,M,448,239,320,0,11284,0,80,291,274,5.578947368,1,3506,T2,12.0
62084,IN,M,522,280,334,1,10311,1,64,293,323,13.41666667,1,0,R2,20.0
165719,CA,F,3567,639,832,88,35491,6,46,739,710,3.411764706,0,4901,C1,4.0
171950,CA,F,1444,439,485,10,16815,8,60,441,475,6.8,0,3001,S2,10.0
118367,TX,,462,214,311,0,10650,2,76,266,274,10.0,1,3701,R2,19.0
41187,FL,M,514,222,298,1,11184,9,53,258,268,15.0,0,0,U4,15.0
132304,CO,F,774,360,396,1,16493,0,36,367,392,5.888888889,0,2001,T1,10.0
138944,AZ,Female,1436,298,466,25,20792,9,12,378,395,7.571428571,0,3201,C1,11.0
161204,CA,M,633,269,299,1,9551,12,64,273,291,25.0,1,0,R2,20.0
186579,CA,F,1869,559,600,38,20539,5,61,560,577,6.157894737,0,0,T2,5.0
11978,CO,M,1213,363,493,19,18860,3,33,416,436,12.46076923,1,4401,R1,15.0
117711,TX,F,271,114,258,0,7545,0,76,180,168,13.6,0,3004,C2,16.0
38924,FL,M,740,314,348,0,11579,18,23,318,348,15.0,1,3201,U3,20.0
47448,AL,Male,714,324,463,0,16087,3,81,463,383,4.571428571,1,0,S2,5.0
182479,WA,F,457,259,370,0,12804,4,63,323,308,6.8,28,0,T2,15.0
96075,IL,M,568,220,353,0,12599,0,84,279,282,4.7,1,2402,T2,5.0
138997,AZ,M,480,173,235,1,9091,2,21,214,214,9.714285714,1,2506,T3,12.0
108989,LA,F,1381,631,776,19,29012,1,64,672,718,15.0,0,5701,C1,15.0
87016,MT,female,425,169,163,0,17618,0,70,163,277,22.83333333,2,0,R2,23.0
12666,AZ,M,863,274,446,0,22486,4,0,325,368,68.8,0,3201,T1,75.0
34302,FL,F,837,321,431,8,13796,3,49,341,397,11.47619048,0,2403,T2,14.0
3018,CA,F,1429,260,329,12,9400,35,44,253,315,12.0,76,0,0,25.0
145231,CA,,0,303,725,0,33139,22,16,664,388,5.466666667,0,0,U2,6.0
152418,CA,M,1637,345,454,33,15788,8,46,405,403,11.625,1,3101,R2,12.0
65061,MI,M,1559,557,666,27,25181,7,80,621,604,20.0,0,5211,S1,25.0
72220,MI,F,835,473,507,2,16227,5,67,497,477,9.375,2,2307,C1,15.0
112288,CA,F,1259,389,458,13,15213,10,54,396,434,13.16666667,0,3001,R3,12.0
109539,LA,F,599,271,352,0,11920,0,83,335,302,13.73333333,2,5212,T2,20.0
7836,CA,M,2123,458,539,56,16611,11,49,480,517,24.11538462,1002,2201,T1,25.0
41448,FL,F,1503,396,659,29,25969,8,33,572,519,9.857142857,0,4206,U1,15.0
110822,AR,Female,576,284,351,0,10860,1,78,311,326,12.4,2,0,C1,20.0
66163,MI,F,922,448,526,1,20513,2,77,481,504,10.5,2,0,S1,10.0
6183,WA,male,1598,510,568,9,17443,6,42,514,557,25.8,1,2409,0,100.0
124787,TX,F,626,235,272,2,7918,22,68,246,258,15.0,0,0,S2,20.0
109644,FL,J,546,250,270,0,10078,8,27,258,262,12.07692308,1002,2509,T2,5.0
105650,KS,F,491,325,356,0,13143,0,74,342,334,4.333333333,0,1901,T2,10.0
45982,FL,F,607,285,362,1,12378,2,29,344,331,8.0,0,0,T2,15.0
14437,CO,M,844,350,393,0,13175,1,49,356,386,8.344827586,1,2705,S2,20.0
10399,NE,F,275,192,338,0,11164,0,89,252,286,10.0,2,0,R2,10.0
151828,CA,M,956,190,303,4,8899,27,44,278,257,9.666666667,1,2701,U4,10.0
162606,CA,F,2653,418,444,86,13440,31,50,417,448,12.5,0,4301,S2,9.0
141809,CA,F,788,71,155,0,6409,28,33,119,116,8.2,2,0,T3,8.0
178884,WA,male,1244,418,459,2,14816,10,46,423,450,15.0,2,5201,S2,15.0
178098,OR,F,407,186,271,0,9728,1,53,220,232,4.411764706,2,3103,R2,6.0
116082,TX,M,569,328,359,0,11879,6,63,336,342,7.333333333,1,3301,C2,10.0
190769,AR,M,855,257,374,6,14500,1,56,267,345,10.0,0,0,S2,10.0
177087,OR,M,619,372,423,0,13208,0,42,394,409,11.4,0,6401,C2,12.0
101654,MO,F,634,322,406,0,14128,1,64,378,355,15.33333333,0,4201,C2,18.0
62760,IN,M,397,297,362,0,11981,1,79,340,317,3.7,0,0,R2,5.0
135406,AZ,M,742,395,441,0,13179,2,36,399,421,11.0,1,4106,S2,25.0
142409,NV,M,607,356,431,1,13714,7,26,397,393,7.666666667,1,2201,R2,10.0
79627,WI,male,2083,264,493,52,19012,6,61,338,393,9.375,1,2408,S1,10.0
27310,GA,M,866,457,506,0,15079,1,63,458,501,10.0,1,2101,T2,15.0
122131,TX,F,831,597,629,0,18705,12,59,601,625,19.25,0,4601,S1,15.0
131169,CO,F,1782,537,749,35,28303,5,36,704,650,18.125,2,2612,C2,25.0
78009,WI,F,804,426,470,0,14328,2,89,445,454,20.0,0,0,T2,20.0
86445,ND,F,751,304,381,0,13051,1,64,340,338,8.625,0,4506,C1,15.0
162343,CA,M,5283,613,742,99,29050,30,50,696,674,10.63636364,0,4701,S1,20.0
35316,FL,F,845,289,436,1,16460,11,20,372,358,9.9375,28,2403,C2,14.0
148946,CA,F,1756,349,388,18,10285,48,38,355,384,13.0,0,0,U3,10.0
5524,AZ,Female,1084,365,462,2,17575,7,18,411,434,13.88888889,2,2301,T1,15.0
57593,KY,M,310,128,233,0,7656,0,84,171,199,5.736842105,1,0,R3,5.0
144339,CA,U,2941,677,819,83,28577,20,53,804,712,11.66666667,980,6601,U1,10.0
158355,CA,M,1857,484,531,17,13912,26,52,497,526,20.0,1,4801,U1,15.0
24311,NC,female,877,293,405,7,13707,1,63,336,362,10.22222222,28,0,R1,3.0
44009,FL,F,1086,384,502,12,17091,4,24,433,457,9.375,0,1103,S2,20.0
7059,SC,F,1015,478,533,0,17763,14,40,500,516,9.571428571,2,2007,S1,10.0
11399,CA,F,809,159,227,0,7074,30,52,191,209,4.585714286,2,1102,C1,8.0
50262,Tennessee,M,648,320,362,0,12611,0,86,325,352,5.866666667,1,4801,R2,10.0
40338,FL,F,902,410,461,4,15332,13,28,413,460,12.4,0,6901,S2,21.0
91101,IL,M,889,510,513,0,16731,0,86,518,517,16.4,0,4507,S2,25.0
130969,CO,F,1309,494,606,10,23951,3,38,528,572,7.1,2,301,C1,20.0
128122,TX,M,438,215,267,3,8729,1,68,264,240,6.125,0,0,T2,5.0
167149,CA,M,2961,664,708,95,23204,16,51,665,716,14.66666667,1,4501,U1,20.0
